userId,Talks_Participation_19_20,lastSubmit,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Fav_Coding_Drink,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Covid_Productivity,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
01jKBLnYhGTy3xztjuhVIf2jass1,0,1603211692917,['JavaScript'],Yes,['Companies engagement with academia'],None,['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],0 months,Startup,Less than 1 year,['Java'],Li ja bismilah,For learning,['Apache Spark'],Thinking of it.,6 000 - 8 000,Morocco,Male,No,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Linux-based,"Developer, back-end",The current Pandemic boosted very positively my productivity,"['React.js', 'Angular', 'Angular.js']",Spoken,We were doing remote before,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['C#', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603211039940,Every few months,0,Yes,"['Node.js', '.NET']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
020TufnjwQTTT0C7jzE0BYz39j53,,1604010020407,,Yes,['Teachers'],Water,,,,,,Less than 1 year,,,,,,,Morocco,Female,No,"['YouTube', 'Paid platforms']",,"Developer, back-end",,,Spoken,,Not enough,,,,,,Bac +2,,,1604009765670,,,Yes,,,,,['Arabic'],Yes,20 to 24 years
03RLF3jf97R8Hb49KJCOAWoipiB2,0,1603210798458,"['C#', 'TypeScript', 'Go']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",Water,"['on-premise', 'Hybrid Cloud', 'Managed PaaS (heroku, app platform ...)']",['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Medium company,1-3 years,"['JavaScript', 'Java', 'Kotlin', 'Swift', 'Objective-C', 'Dart']",Li ja bismilah,For profit,"['Node.js', 'Flutter']","No, I am not interested.",8 000 - 10 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Blog posts']",MacOS,"Developer, mobile",The current Pandemic somehow impacted negatively my productivity,"['React.js', 'Angular', 'ASP.NET Core', 'Spring Ecosystem']",Both,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['Java', 'Kotlin', 'Swift', 'Objective-C']",Good,"['Google it', 'Do other work and come back later.']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603210400558,Once a year,1-3,No,"['.NET', 'Unity 3D']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
03iq2uFIwNOqgNw01FF2AViQr9B3,,1603449369739,,Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",Coffee,,,,0 months,Freelance,Less than 1 year,,,For learning,,,,Morocco,Male,No,"['YouTube', 'Books', 'Official documentation']",,"Developer, full-stack",,,Both,,Not enough,,,,,,Bac +5,,,1603448920362,,,Yes,,,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Remote work options', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
03lbWrhd7nQ0FFjsaap7q062bQ13,1 - 3 talks,1603892118793,"['Kotlin', 'R']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",Tea,['Not Sure'],['I am maintaining my own project'],"['jQuery', 'Other']",Few months,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'PHP', 'C++', 'VBA', 'Dart']",Li ja bismilah,For profit,"['TensorFlow', 'Flutter']",Yes more than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, front-end",The current Pandemic somehow boosted my productivity,['Next'],Spoken,No remote policy yet,Enough to start,Often: 1-2 days per week or more,"['Python', 'Dart']",Not Bad,['Google it'],NO,Bac +5,"['VS Code', 'Sublime', 'Atom']",I don’t know Facebook Developer circles,1603891477079,Every few months,1-3,No,"['TensorFlow', 'Flutter']",Neither satisfied nor dissatisfied,"['Office environment or company culture', 'Salary']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,20 to 24 years
04Ph5mT7GwVqhBta7KxCkVGh1Kp1,,1603668332224,,No,['Companies engagement with academia'],None,,,,,,1-3 years,,,,,,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Company resources']",,"Engineer, data",,,Both,,Not enough,,,,,,Bac +5,,,1603668223018,,,Yes,,,,,"['Arabic', 'French', 'English']",No,20 to 24 years
06EWskHeKGWPBm1hHddEfuMR9hG3,1 - 3 talks,1603280782327,['Go'],Yes,['Companies engagement with academia'],Coffee,['Hybrid Cloud'],"['Yes, few PRs in multiple projects']",['React.js'],0 months,Small company,5-10 years,"['Java', 'Haskell']",In-person events?,For learning,"['Node.js', 'React Native', 'Ansible', 'Apache Spark']",Yes more than 10 blog posts,> 25 000,Morocco,Male,Yes,['Blog posts'],MacOS,Senior executive/VP,The current Pandemic did not impact my productivity,['Other'],Spoken,We were doing remote before,Enough to start,Often: 1-2 days per week or more,['Java'],Not Bad,['Do other work and come back later.'],Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603215859827,Once a year,More than 3,No,['TensorFlow'],Very satisfied,['Office environment or company culture'],Employed full-time,"['Arabic', 'French', 'English']",No,35 to 39 years
0EAMXNVu1CaBPea0l8W8f2zSCZh1,0,1603543653431,"['Python', 'Swift', 'Objective-C']",Yes,['Academic defined subjects (system)'],None,"['Full Cloud', 'on-premise', 'Hybrid Cloud']","['Yes, few PRs in multiple projects', 'I am maintaining my own project']","['jQuery', 'React.js', 'Angular', 'Spring Ecosystem', 'Laravel', 'Symfony']",Less than 1 year,Multinational company,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Java', 'C#', 'PHP', 'TypeScript', 'C', 'Kotlin', 'Dart']",In-person events?,For learning,"['React Native', 'Flutter']",Thinking of it.,13 000 - 15 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Others']",Windows,"Developer, full-stack",The current Pandemic somehow boosted my productivity,"['Angular', 'Express', 'Laravel']",No,We were doing remote before,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'PHP', 'TypeScript', 'Dart']",Not Bad,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Eclipse']",I don’t know Facebook Developer circles,1603542817961,Every few months,1-3,Yes,['Node.js'],Very satisfied,"['Office environment or company culture', 'Opportunities for professional development', 'Salary']","Freelancer, or self-employed","['French', 'English']",No,20 to 24 years
0HCQxsgLGRftk3V6iYDoKLyGVq13,0,1603710483961,"['Go', 'Swift', 'Scala']",Yes,['Companies engagement with academia'],Water,['Not Sure'],"['Yes, few PRs in multiple projects']",['Angular'],,Multinational company,3-5 years,"['JavaScript', 'Python', 'TypeScript', 'C', 'Go', 'Swift']",Live/online events,For profit,"['Node.js', 'Pandas', 'TensorFlow', 'Keras']",Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",MacOS,Data scientist or machine learning specialist,The current Pandemic boosted very positively my productivity,['React.js'],Spoken,,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'TypeScript']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603707823850,Once every few years,1-3,No,"['Flutter', 'Torch/PyTorch']",Very satisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
0HbdmSPNC0gEw292a1JL7LL4MPE2,0,1603217104623,"['JavaScript', 'SQL', 'Go']",No,['Teachers'],Tea,['Not Sure'],"['Yes, few PRs in multiple projects']",['React.js'],More than 1 year,Small company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'TypeScript']",Live/online events,For profit,['Node.js'],Thinking of it.,< 6 000,Morocco,Male,No,"['YouTube', 'Blog posts']",Windows,"Developer, front-end",The current Pandemic did not impact my productivity,"['Vue.js', 'Gatsby']",Spoken,No remote policy yet,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'TypeScript']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +2,['VS Code'],Yes,1603216673772,Once a year,0,Yes,['React Native'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options']","Freelancer, or self-employed","['Arabic', 'English']",No,25 to 29 years
